date,XS1,XS2,XS3,XS4,XS5,XS6,XS7,XS8,XS9,XS10
1980-10-01,0.0179221,-0.0091499,0.0140004,0.0092925,-0.0076525,0.0054746,0.0171373,0.0347273,0.0187896,0.0353187
1980-11-01,-0.0075567,-6.59e-05,-0.0305935,0.0104541,-0.0167968,-0.0130208,-0.0100405,-0.0056133,-0.0125506,-0.009353
1980-12-01,-0.0229449,-0.0377913,-0.0249942,-0.0554256,-0.0590269,-0.0493757,-0.0355599,-0.0554556,-0.0382489,-0.0525767
1981-01-01,0.0303089,0.0068931,0.0105479,0.0120192,0.006078,-0.0109879,0.0062132,0.0047508,-0.0325957,-0.0133271
1981-02-01,0.0338861,0.0310219,0.0476873,0.0472711,0.0602647,0.0446945,0.0569113,0.0627628,0.08769,0.0641175
1981-03-01,0.0303168,0.0439536,0.0864279,0.0622708,0.0817273,0.0621601,0.0885346,0.0836806,0.0510659,0.0291952
1981-04-01,0.0884082,0.1086448,0.0751095,0.0576747,0.0826309,0.0916049,0.0712155,0.0794183,0.0864141,0.0717407
1981-05-01,-0.0002118,0.0089088,0.0078141,0.0006764,-0.0115224,-0.0174062,-0.0178231,-0.0424312,-0.0622038,-0.0674073
1981-06-01,0.0066232,-0.0044684,-0.0059506,0.0049939,0.0102107,0.0033202,-0.028519,-0.0126576,-0.0032969,0.0186707
1981-07-01,-0.0085185,-0.0333367,-0.015407,-0.0383425,-0.0025838,-0.0172728,-0.0193156,-0.0093298,-0.0359349,-0.020949
1981-08-01,0.0291406,0.0266696,0.0224051,0.0300433,0.0314185,0.020438,0.0315033,0.035488,0.0459147,0.0554173
1981-09-01,-0.1395634,-0.1305635,-0.1365181,-0.1630888,-0.1639179,-0.1527611,-0.1717581,-0.1711223,-0.1805065,-0.1849373
1981-10-01,0.0253825,-0.0023986,0.0050263,0.0073579,0.0080981,0.0034509,0.0142226,0.0104798,0.0123185,0.0162499
1981-11-01,0.0386709,0.0462723,0.0453915,0.0165349,0.054558,0.0507526,0.0517309,0.0973206,0.1118052,0.1044153
1981-12-01,0.0079392,0.0168476,0.0087587,0.0377911,0.018079,0.0296322,0.0035637,0.0059016,0.007573,-0.0247574
1982-01-01,0.0450859,0.05107,0.0630423,0.0563541,0.0523603,0.0636417,0.076192,0.0699802,0.0796274,0.0475626
1982-02-01,-0.0102384,-0.0344657,-0.0262503,-0.031184,-0.0072758,-0.0098537,-0.0213026,-0.0239787,-0.0343231,-0.0544928
1982-03-01,0.0148753,0.0024988,-0.0094811,0.0163471,0.0087744,0.0305857,0.0283676,0.0186949,0.0407788,0.0377098
1982-04-01,-0.0211093,-0.0259942,-0.0024844,-0.0161602,-0.0131042,-0.0167434,-0.0247316,-0.0076413,0.0044515,0.0072155
1982-05-01,0.0009664,0.0117475,-0.0061433,0.0052673,0.0063823,0.0323174,0.017788,0.0071128,0.008454,0.0183319
1982-06-01,-0.0331258,-0.0185179,-0.0315763,-0.057632,-0.0427352,-0.0396292,-0.04984,-0.0608783,-0.0453246,-0.0525976
1982-07-01,-0.0070885,-0.0038496,-0.0101374,0.0123899,0.0026138,0.0183196,0.0012573,0.0296845,0.0339594,0.017643
1982-08-01,-0.016924,-0.0044878,-0.0067866,-0.0193557,-0.003895,0.0048057,0.0013333,0.0120754,0.0215756,0.0398814
1982-09-01,-0.0080597,0.0206298,-0.000798,0.0026341,0.0104854,0.0187821,0.0236957,0.0301891,0.0336093,0.0465211
1982-10-01,0.0522217,0.007184,-0.005288,-0.0075602,0.0115648,0.0276151,0.0035432,7.56e-05,0.0285077,0.0183145
1982-11-01,0.1245624,0.0841987,0.0460441,0.0279421,0.0236414,0.0683563,0.0451124,0.043627,0.0060761,0.0175891
1982-12-01,0.0568971,0.0109699,0.0213052,0.0052589,-0.0128827,-0.0169128,0.0104571,0.0085482,0.0140737,0.0162059
1983-01-01,0.1262165,0.0826885,0.0938718,0.0227995,0.0360632,0.0980607,0.0257931,0.0303319,0.0352452,0.0127959
1983-02-01,0.0623016,0.0330831,0.016372,0.0682013,0.0335961,0.0013486,0.0354509,0.0193959,0.0284032,-0.0035286
1983-03-01,0.0057378,0.0260567,0.0439909,0.0481084,0.0169797,0.0275495,0.0283071,0.0337381,0.0407474,0.0248443
1983-04-01,0.0652524,0.0761384,0.0313739,0.0967726,0.0848435,0.023551,0.0321067,0.0417313,0.0724907,0.0757078
1983-05-01,0.006493,-0.0414195,0.0170955,-0.0065299,-0.017057,-0.0406591,-0.0052109,-0.0197416,-0.017625,-0.0052472
1983-06-01,0.029487,0.0171635,0.0124723,0.0528164,0.0234027,0.0076289,0.0469712,0.0404184,0.0440587,0.0433183
1983-07-01,0.0180846,0.0021315,0.0051817,-0.0271128,0.006751,-0.0077687,-0.0002376,-0.0106726,-0.0236868,-0.0317524
1983-08-01,0.0356942,0.0348862,0.0085288,0.0244048,0.0032909,0.0025619,0.0016461,0.0144073,-0.0060264,0.034276
1983-09-01,-0.0137578,-0.0036993,-0.009643,-0.0019122,-0.0002875,0.001218,0.0044551,-0.0198569,-0.0242002,-0.0083455
1983-10-01,0.0174882,0.001815,0.0104452,-0.0104198,-0.0201305,-0.0415829,-0.0094118,-0.0164959,-0.028227,-0.0097735
1983-11-01,0.0520737,0.0542161,0.0281427,0.0480736,0.0387184,0.0130351,0.0341591,0.0527692,0.0456723,0.0408535
1983-12-01,0.0276635,0.0283954,0.0026638,0.0309889,0.0359154,0.0119031,0.0119293,0.0389938,0.0289736,0.0218777
1984-01-01,0.0902788,0.0481653,0.0784132,0.0738785,0.0764272,0.0814261,0.0652802,0.0609243,0.0816407,0.0518166
1984-02-01,0.0410356,0.0487912,0.0643345,0.0303894,0.0148027,0.0181799,0.0136319,0.0124229,-0.0030148,-0.0168349
1984-03-01,0.0370218,0.0536689,0.0417689,0.0470336,0.0425915,0.0391996,0.0514006,0.0443505,0.0322728,0.0785851
1984-04-01,-0.0150953,0.0158334,-0.011641,0.0110426,-0.0045181,-0.0072082,0.022157,0.0156528,0.0248905,0.0367157
1984-05-01,-0.074772,-0.0806218,-0.0915945,-0.0600845,-0.079592,-0.0852365,-0.0876607,-0.1070685,-0.1190075,-0.1140514
1984-06-01,0.0162497,0.0053709,0.0273888,0.0156991,0.0227681,-0.0110654,0.0332513,0.0226053,0.0109108,0.0084328
1984-07-01,-0.0362255,-0.0687803,-0.0368585,-0.0342095,-0.0406427,-0.069347,-0.0392347,-0.0351948,-0.0242435,-0.044499
1984-08-01,0.016857,0.0699515,0.0609562,0.0355241,0.0478475,0.074974,0.0537336,0.1007959,0.0874434,0.0823908
1984-09-01,0.0132158,-0.0036986,0.0106755,0.027078,0.0321691,0.0114502,0.0153515,0.0113157,0.0201162,0.0237701
1984-10-01,0.021665,0.0320798,0.016913,0.0039493,0.0010973,0.0269477,0.0319529,0.0136873,0.0178661,0.0196546
1984-11-01,0.0098522,0.0041883,0.0237264,0.0150829,0.0374673,0.0521808,0.0245145,0.0438764,0.0494228,0.0249516
1984-12-01,0.0509574,0.0399387,0.0008638,0.0368972,0.0299028,0.0436496,0.0335088,0.0456617,0.0348615,0.0372188
1985-01-01,0.0147893,-0.0019699,0.0304515,0.0513791,-0.0064398,0.0243624,0.0171915,0.0119902,0.0146621,0.0192486
1985-02-01,0.02763,0.0374492,0.0018085,0.0245929,0.0201116,0.008756,0.0156133,0.0016022,-0.0139989,-0.0231173
1985-03-01,0.0364689,0.0105429,0.0130969,0.046416,0.0082017,0.0338715,0.0460423,0.0342531,0.0261711,0.0111591
1985-04-01,0.0072011,0.0278661,0.0112075,0.0179305,0.0088864,0.0213496,-0.0060485,0.0097611,0.0044805,0.0012017
1985-05-01,0.0550046,0.0210974,0.0161476,0.0056766,0.032508,0.0185623,0.0346486,0.0157669,0.0175464,0.0080796
1985-06-01,-0.0426163,-0.0603856,-0.0271028,-0.0486677,-0.0647897,-0.0584499,-0.0636622,-0.0768374,-0.0739757,-0.0657573
1985-07-01,0.0419569,-0.0072735,-0.0068139,-0.0108249,-0.0068683,-0.0105599,0.0097914,0.0316851,0.0099287,0.0037233
1985-08-01,0.0592838,0.0409052,0.0543235,0.064649,0.0550353,0.0679451,0.0447806,0.0526461,0.0783963,0.0637875
1985-09-01,0.01882,0.048166,0.0152604,0.0086403,0.0153405,-0.00342,-0.0018684,-0.0189723,-0.0182062,-0.0281948
1985-10-01,0.051227,0.0247661,0.0610383,0.0147617,0.0436161,0.0399243,0.0474429,0.0807379,0.088725,0.0521873
1985-11-01,0.0484778,0.0322548,0.027195,-0.0113129,0.0250763,-0.0053925,0.0138385,0.0128029,0.0084668,0.0385917
1985-12-01,0.0374296,0.0245894,-0.0231384,-0.0068634,-0.0314928,-0.0129126,-0.0143924,-0.0376707,-0.0306576,-0.0201131
1986-01-01,0.0508586,0.0511723,0.0322933,0.0138875,0.0082122,0.0351078,0.0360263,0.0340013,0.0244148,0.004837
1986-02-01,0.0924982,0.0899531,0.0734954,0.0796519,0.0539808,0.0651154,0.0639924,0.0666409,0.0838919,0.080906
1986-03-01,0.0433811,0.0284487,0.0332516,0.0286938,0.0365506,0.0361673,0.0602896,0.0609695,0.0622823,0.0697299
1986-04-01,0.0867242,0.0936992,0.0837838,0.0311207,0.0406034,0.0486394,0.0408693,0.0678,0.0335047,-0.0078363
1986-05-01,0.0235257,0.0192409,0.0086951,0.0030456,0.0191319,-0.0127296,-0.0242475,-0.0306759,-0.0249847,-0.0374379
1986-06-01,0.0396537,0.047786,0.0438564,0.045406,0.0192564,0.0347041,0.0304079,0.0212382,0.0249909,0.0267666
1986-07-01,0.0298483,0.0047212,-0.0068374,-0.0135963,-0.0269684,-0.0316187,-0.0393195,-0.0495234,-0.046188,-0.0685291
1986-08-01,0.0281546,0.009937,-0.0052514,0.0040727,0.0389862,0.0099547,0.0111893,0.0169283,0.0221729,0.0638004
1986-09-01,-0.0148636,-0.0269011,-0.0247059,-0.0298563,-0.0268631,-0.0143745,-0.0386529,-0.0508038,-0.0478386,-0.0621889
1986-10-01,0.0841858,0.0385594,0.051234,0.028154,0.031359,0.0322348,0.0327651,0.0332626,0.0366395,0.0402312
1986-11-01,0.0694231,0.0518526,0.0324401,0.0564129,0.0063647,0.0340685,0.0337475,0.0253267,0.0311204,0.0094557
1986-12-01,0.0414673,0.0221171,0.0225118,0.0097273,0.0184149,0.0121055,0.0284244,0.0068517,0.0058278,0.0129879
1987-01-01,0.0737279,0.0686087,0.0691202,0.0839756,0.0857773,0.0826246,0.0800039,0.0855082,0.0891885,0.0727248
1987-02-01,0.1224769,0.1060391,0.0767346,0.0943524,0.0917511,0.0911593,0.1104799,0.0733161,0.0788486,0.1019302
1987-03-01,0.1048186,0.1142381,0.0825692,0.0852673,0.0760269,0.0938736,0.0418694,0.052562,0.0476988,0.00204
1987-04-01,0.0444637,0.0326392,0.046537,0.0411027,0.059361,0.0274786,0.0280376,0.0294242,0.0142225,0.0297116
1987-05-01,0.131283,0.1250995,0.0847505,0.0786794,0.0999103,0.0731513,0.0734715,0.0714887,0.0616816,0.0689767
1987-06-01,0.2165317,0.2085205,0.1373621,0.1148014,0.1747159,0.1068046,0.1261111,0.0769022,0.0773008,0.0294676
1987-07-01,0.2725369,0.1957852,0.1557053,0.1261221,0.1124662,0.0998254,0.1170988,0.0628065,0.0609537,0.0315172
1987-08-01,-0.0604637,-0.0543571,-0.0548005,-0.0530633,-0.0388109,-0.046575,-0.0550214,-0.0485056,-0.0573223,-0.0451128
1987-09-01,0.0292661,0.0178687,0.037892,0.0371463,0.0417416,0.0556445,0.0320663,0.0441055,0.0468175,0.0426722
1987-10-01,-0.1836056,-0.2075084,-0.2139729,-0.2069299,-0.2327511,-0.2431367,-0.2473864,-0.2623961,-0.2937943,-0.2769786
1987-11-01,-0.1577554,-0.1813363,-0.170272,-0.1721216,-0.1770275,-0.1821531,-0.1762026,-0.1408348,-0.1176144,-0.1026736
1987-12-01,-0.0002444,0.0209514,-0.013752,0.0207671,0.0327552,0.0416547,0.0625252,0.1042962,0.1225269,0.0917164
1988-01-01,0.0361906,0.038083,0.0667965,0.0573958,0.0632731,0.0614947,0.077899,0.0669647,0.054936,0.0482516
1988-02-01,0.000623,0.0040666,-0.0066977,0.0245793,-0.0035017,-0.0097538,0.0039978,-0.0047064,-0.0038569,-0.0149395
1988-03-01,-0.0174391,-0.0099945,-0.0174485,-0.0112018,0.0006251,0.0116247,-0.0048541,0.0127408,-0.0094092,-0.0172389
1988-04-01,0.0516018,0.0158861,0.042755,0.0361892,0.0289808,0.0307891,0.0248031,0.0322767,0.0414951,0.0377986
1988-05-01,0.0233949,0.0281759,0.0134727,0.0097688,0.0223415,0.0211252,0.0328264,0.0234523,-3.78e-05,-0.0099268
1988-06-01,0.0345099,0.0560916,0.0547406,0.0295085,0.0447481,0.0367901,0.0298506,0.0211282,0.044746,0.0360717
1988-07-01,0.0341634,0.0309218,0.0183747,0.0241425,0.0222228,0.0158456,-0.0003385,0.013991,0.0054318,-0.0038963
1988-08-01,0.0040244,-0.0091233,-0.0327251,-0.0469333,-0.047787,-0.0384685,-0.0511621,-0.0696924,-0.0729544,-0.0591792
1988-09-01,0.0012866,-0.0177923,-0.0198521,-0.0132093,0.0016833,-0.0062776,0.0094062,0.0183683,0.026222,0.0393562
1988-10-01,0.061771,0.0273613,0.0141321,0.0160396,0.024802,0.0266859,0.0210846,0.0262865,0.0278858,0.0119703
1988-11-01,-0.0091144,-0.0408552,-0.0300011,-0.0355663,-0.0230311,-0.0344826,-0.0392263,-0.0336896,-0.0463056,-0.0415167
1988-12-01,-0.0552608,-0.0398526,-0.0533488,-0.0516369,-0.0418106,-0.0536339,-0.0484724,-0.042769,-0.0431867,-0.0040588
1989-01-01,0.0502845,0.0800067,0.0788795,0.0830378,0.0583009,0.0991871,0.0926238,0.0994866,0.1180953,0.1355372
1989-02-01,0.030349,0.0307507,0.0331323,0.0259195,0.0306845,0.0264648,0.0300861,0.0355429,0.0019353,-0.0223727
1989-03-01,0.0412329,0.0235349,0.0205066,0.0298049,0.0228732,0.0188845,0.0086599,0.0223698,0.0141075,0.0290273
1989-04-01,0.0126379,0.0153654,0.0218009,-0.0006795,-0.0023924,-0.0015015,0.0035921,0.0008893,7.59e-05,0.0158109
1989-05-01,0.0117086,0.0102661,0.0272333,-0.0020016,-0.0033851,-0.0029349,-0.0110608,-0.0211646,0.0017663,0.0001854
1989-06-01,-0.0073248,-0.0131128,-0.0060369,-0.013742,-0.0117406,-0.0199004,-0.0231664,-0.0132246,-0.0041146,0.0097601
1989-07-01,0.0088929,0.0040966,0.0111517,0.0175073,0.0185965,0.0274903,0.024101,0.0364238,0.0527407,0.0584621
1989-08-01,-0.0244063,-0.0165417,-0.0254621,-0.0212905,-0.015964,-0.0211655,-0.0107533,-0.008836,0.0001439,0.0242269
1989-09-01,-0.0321296,-0.0358842,-0.0168743,-0.0232947,-0.0400276,-0.0302708,-0.0246103,-0.0311632,-0.0306957,-0.0447052
1989-10-01,-0.1052001,-0.1309326,-0.1419071,-0.1315987,-0.1278352,-0.1410194,-0.1414063,-0.1158885,-0.1169124,-0.0860111
1989-11-01,-0.0220676,-0.0268694,-0.040018,-0.0208939,-0.0253207,-0.0227402,-0.0159471,-0.0031536,0.0179933,0.0459127
1989-12-01,-0.0064821,0.0044206,0.0053284,0.0063046,0.0091797,0.0193389,0.0228455,0.0290853,0.0312831,0.050514
1990-01-01,-0.0004537,0.0046069,0.0005505,-0.0099195,-0.0159578,0.0023334,0.0013259,-0.0088072,-0.031271,-0.0453991
1990-02-01,-0.0377024,-0.053511,-0.050887,-0.0487828,-0.0550589,-0.0421628,-0.0413588,-0.0554163,-0.0583363,-0.0423389
1990-03-01,-0.0343158,-0.0545727,-0.0479143,-0.0529558,-0.0420527,-0.0433477,-0.0465706,-0.0367323,-0.01417,-0.0096467
1990-04-01,-0.0485971,-0.0433554,-0.0549045,-0.0694445,-0.0525598,-0.0729809,-0.0776913,-0.0781386,-0.0606661,-0.068374
1990-05-01,0.008595,0.0015303,-0.0026671,0.009696,0.0149994,0.0374688,0.0337897,0.0604104,0.0784483,0.1075664
1990-06-01,0.0044757,-0.0123066,-0.0111826,0.0102567,0.0155786,0.0054113,0.0331401,0.0213466,0.0223541,0.0093385
1990-07-01,-0.0461351,-0.0060697,-0.0280983,-0.0102837,-0.0249847,-0.0303423,-0.0259996,-0.0188987,-0.0278846,-0.0311913
1990-08-01,-0.0997181,-0.0910329,-0.1087087,-0.0882769,-0.121945,-0.1246953,-0.1329891,-0.1346809,-0.1378413,-0.0874047
1990-09-01,-0.078253,-0.0883037,-0.1043407,-0.1143329,-0.0992826,-0.1039335,-0.0989075,-0.101683,-0.1034598,-0.0805206
1990-10-01,-0.0245277,-0.0371297,-0.0252306,-0.0428365,-0.0117461,-0.0161693,-0.0090027,0.0111783,0.0161434,0.024537
1990-11-01,-0.0491578,-0.0717041,-0.0381602,-0.0632547,-0.0392693,-0.0290167,-0.0407481,-0.0003914,0.0224346,0.0298018
1990-12-01,-0.0285995,-0.025832,-0.0233847,-0.0247987,-0.0359291,-0.0185589,-0.0134396,-0.0066437,0.0022229,-0.0030341
1991-01-01,-0.0673026,-0.0813574,-0.0689582,-0.0537998,-0.0609128,-0.0616997,-0.0485563,-0.0547306,-0.0356694,0.001901
1991-02-01,0.1018205,0.1038673,0.0963418,0.088249,0.1460553,0.1476239,0.1548353,0.1591308,0.1547787,0.0952356
1991-03-01,0.0945989,0.0823972,0.073894,0.0821825,0.1176588,0.0952986,0.105756,0.0757169,0.0499848,0.0263936
1991-04-01,-0.0102211,0.0113069,-0.0035899,-0.0082165,0.0073651,0.005606,0.0011747,0.0050249,-0.0098841,0.0050616
1991-05-01,-0.0791545,-0.0199891,-0.0029632,-0.0368439,-0.0308196,-0.021333,-0.011573,-0.027682,-0.0345774,0.0013622
1991-06-01,-0.0385943,-0.0610504,-0.0310999,-0.0353313,-0.0677813,-0.032866,-0.0408889,-0.0463262,-0.0453051,-0.0355624
1991-07-01,0.0083874,0.0045228,-0.0169271,-0.0004338,0.0271796,-0.0077228,-0.0029467,0.0171374,0.0320895,0.0683248
1991-08-01,0.0124475,0.0291935,0.0154313,-0.0024552,0.0237998,0.0251765,0.0313176,0.0419968,0.0407567,0.0187873
1991-09-01,0.0682986,0.0509846,0.0630136,0.0453168,0.0563901,0.0700746,0.0666096,0.059831,0.0173748,-0.00784
1991-10-01,-0.0090098,-0.0183423,-0.0219392,-0.0155721,-0.0531992,-0.0168521,-0.0148394,-0.020316,-0.0325921,-0.0232121
1991-11-01,-0.0160479,-0.0380612,-0.0248652,-0.0003266,-0.0167243,-0.0470426,-0.0264853,-0.0352945,-0.0603416,-0.057631
1991-12-01,-0.011686,-0.0437968,-0.0506869,-0.0521046,-0.0330213,-0.0594409,-0.0439592,-0.0545905,-0.0245427,0.0247368
1992-01-01,-0.0136639,-0.0199487,0.0024742,0.0083058,0.0170617,0.0027272,0.0094354,0.0362262,0.0495133,0.0341507
1992-02-01,-0.0039185,-0.0101152,-0.0203776,-0.0004033,0.0040964,-0.0081678,0.0102024,0.0023082,0.0124346,-0.0043583
1992-03-01,-0.0616399,-0.0764552,-0.0454554,-0.0467136,-0.0371332,-0.0473344,-0.0525786,-0.0544323,-0.0481336,-0.04947
1992-04-01,0.0527095,0.0877624,0.0571333,0.0793028,0.0882778,0.0888498,0.0910607,0.0909254,0.1281139,0.0840827
1992-05-01,0.1038656,0.0663004,0.0857328,0.0702578,0.0712371,0.0611595,0.0514139,0.0368013,0.0173866,0.0093261
1992-06-01,-0.056873,-0.0529818,-0.0511507,-0.061837,-0.0623769,-0.068359,-0.0708205,-0.0831588,-0.0808452,-0.0771454
1992-07-01,-0.0892463,-0.1004098,-0.0792735,-0.107053,-0.1094728,-0.1219771,-0.1094965,-0.1021222,-0.1093382,-0.0515701
1992-08-01,-0.06296,-0.0522321,-0.066702,-0.0521877,-0.0403353,-0.0617516,-0.0721933,-0.0700365,-0.0496592,-0.0350213
1992-09-01,-0.018461,-0.0244169,-0.0250855,-0.0083384,-0.0246205,0.0038086,0.0348248,0.0641018,0.0841083,0.0852226
1992-10-01,0.0250497,-0.0167943,-0.0135681,-0.0118843,-0.0074404,-0.0045751,-0.0026227,0.0158664,0.0591445,0.0331618
1992-11-01,0.0735331,0.004876,0.0356636,0.0494871,0.0176158,0.032918,0.0280504,0.0256394,0.0455679,0.0477852
1992-12-01,0.0746374,0.04689,0.0682544,0.0769664,0.0817623,0.1231066,0.0911666,0.1011799,0.0898789,0.0264186
1993-01-01,0.1128149,0.0911073,0.0409455,0.0900379,0.0743501,0.0974673,0.1046873,0.0570196,0.0363131,-0.0207829
1993-02-01,0.0688308,0.0715228,0.0495895,0.0692305,0.0260135,0.0274942,0.0176375,0.0197166,0.0168694,0.013794
1993-03-01,0.0538614,0.0006586,0.0391696,0.0552325,0.0249072,0.0278608,0.0335562,0.027346,0.0230859,0.0102673
1993-04-01,0.0768051,0.0618989,0.0665537,0.0507582,0.0251507,0.0410048,0.0239593,0.0261634,0.0138664,-0.0236821
1993-05-01,0.1119223,0.0502633,0.0606767,0.0444265,0.0514051,0.0509911,0.0265035,0.0040144,0.0048994,0.0059878
1993-06-01,0.0201671,0.0513963,0.0113863,0.038685,0.0165773,0.0051663,0.0146432,0.0162847,0.0211901,0.0095977
1993-07-01,0.0245516,0.0229971,0.0143362,-0.0127024,0.001868,0.0069889,-0.0068618,-0.0008095,0.0153999,0.01056
1993-08-01,0.0877147,0.062984,0.0586059,0.0740944,0.0940685,0.0882792,0.0777133,0.05583,0.0586744,0.0670639
1993-09-01,0.0138066,0.0133655,0.0220025,0.0212927,0.0124187,0.0037832,-0.0129883,-0.0162709,-0.0271997,-0.030407
1993-10-01,0.0375375,0.0113321,0.0309032,0.0135857,0.0257965,0.0340402,0.0083911,0.0065196,0.0200966,0.0374447
1993-11-01,0.0489746,-0.017239,-0.011335,-0.0154619,-0.0149213,-0.0297515,-0.0338487,-0.0359247,-0.0073888,0.0019639
1993-12-01,0.0254062,0.0345921,0.0668375,0.0650005,0.0508033,0.0410798,0.0617952,0.0471654,0.0865335,0.0676677
1994-01-01,0.0188434,0.1482349,0.1519257,0.1094349,0.1293599,0.0927789,0.0880875,0.116594,0.0776155,0.024883
1994-02-01,0.0013046,0.0157222,-0.0006947,0.0114454,0.0042488,0.0146678,0.0099962,-0.0096217,-0.0271166,-0.0419778
1994-03-01,-0.0224949,-0.0347519,-0.0346066,-0.0495645,-0.0626439,-0.0709593,-0.0628592,-0.0715262,-0.047381,-0.0603889
1994-04-01,0.0595296,0.0201706,0.0312112,0.0145405,0.0158562,0.0158456,0.0148234,0.0191816,0.0011585,0.0159448
1994-05-01,0.0149372,0.002488,-0.0041595,-0.0343938,-0.0042582,-0.0279816,-0.0325016,-0.0418547,-0.0570103,-0.056451
1994-06-01,-0.0483531,-0.0552217,-0.027051,-0.0409539,-0.0420306,-0.0492089,-0.0585425,-0.0564079,-0.0404453,-0.0159344
1994-07-01,0.0398816,0.0155129,0.01253,-0.0074655,0.0044339,0.0186426,0.0323952,0.0337452,0.0644286,0.054543
1994-08-01,0.0436444,0.0602244,0.0267277,0.0377043,0.035857,0.0322625,0.0319752,0.0248265,0.0385146,0.0629856
1994-09-01,-0.0094892,-0.0149001,-0.0253093,-0.0329358,-0.0132008,-0.0333085,-0.0382614,-0.0493027,-0.0838962,-0.075446
1994-10-01,-0.0410585,-0.018977,-0.0311223,-0.0300104,-0.0137258,-0.0259902,-0.0151258,-0.0244501,0.0075378,0.015514
1994-11-01,-0.0161111,-0.028599,-0.0074102,-0.0220729,-0.0095738,-0.0210529,-0.009754,-0.0157646,0.0010097,-0.0079989
1994-12-01,0.0007484,-0.0020629,-0.0161391,-0.0105995,-0.0108792,-0.0138619,-0.0088453,-0.0101311,-0.0111364,0.0022358
1995-01-01,-0.0336369,-0.0114868,-0.001105,-0.0073318,-0.0176859,-0.0088454,-0.0193252,-0.0285564,-0.0286852,-0.026508
1995-02-01,-0.0532728,-0.0542357,-0.0297695,-0.0184096,-0.0096565,-0.017527,-0.0044725,-0.0222126,-0.0081649,-0.0009615
1995-03-01,-0.0085346,0.0069436,-0.0111142,-0.0092097,-0.0077194,-3.21e-05,-0.0003729,0.0274709,0.0425922,0.0339387
1995-04-01,0.0006051,0.018658,0.0253689,0.0009342,0.017859,0.0232122,0.0336033,0.02667,0.0234459,0.0197812
1995-05-01,0.0277032,0.0600103,0.0404836,0.0479998,0.0448893,0.0562958,0.052584,0.0503056,0.0320117,0.0279876
1995-06-01,-0.0033921,-0.0146933,-0.0025566,-0.0132585,-0.0154828,0.0019928,-0.0083769,-0.0179189,-0.0139374,-0.0009547
1995-07-01,0.0323991,0.0455915,0.0194227,0.0180509,0.023708,0.0480793,0.0344495,0.046886,0.0701432,0.0427138
1995-08-01,0.0225697,0.0259897,0.0435988,0.0290814,0.0742409,0.0261045,0.0366464,0.0219267,0.0140056,0.0073337
1995-09-01,0.0058529,0.0117453,0.0034156,0.0058898,0.0175888,0.0037868,0.002688,0.0185418,0.0042842,-0.0005447
1995-10-01,-0.0206292,-0.0006701,-0.0123221,-0.0139405,-0.0135318,0.0074939,-0.0158628,-0.0229248,-0.0130397,-0.0122171
